Address,Description,ID,N_rooms,Payment,Postal,Posting_info,Square,Title,Town,Type,URL,image_urls
Tellplatz ,"Beautiful furnished apartment, very bright, completely renovated.A very cozy apartment is waiting for your tenant!Bus and tram stops can be reached on foot.Shopping centers, banks, post office, cafés and restaurants are in the immediate vicinity.Photos from spring 2022 have we sparked your interest?Do not hesitate and contact us to arrange a viewing date.We are looking forward to your contact!",53719739,1,1200.0,3014.0,29.07.2022,30.0,Rent a cozy apartment in Bern - tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/eine-gemuetliche-wohnung/53719739,"https://c.tutti.ch/images/0189315580.jpg,https://c.tutti.ch/images/0168797128.jpg,https://c.tutti.ch/images/0177320447.jpg,https://c.tutti.ch/images/0123408856.jpg,https://c.tutti.ch/images/0185843766.jpg"
Lehenmattstrasse ,Partial renovated the apartment in the Lehenmattquartier was partially renovated in 2018.The kitchen and the bathroom is new.The floors in the rooms are covered with parquet.The apartment has a small balcony.The back rooms have a view of the black park.The laundry room is in the basement.,10004464313,3.5,1580.0,4052.0,29.07.2022,66.0,Rent the Lehenmattquartier in Basel - Jacquline Collet - Tutti.ch,basel,Rental offers,https://www.tutti.ch/de/vi/basel/grossbasel/immobilien/wohnungen/lehenmattquartier/10004464313,"https://c.tutti.ch/images/1000025307496.jpg,https://c.tutti.ch/images/1000025307498.jpg,https://c.tutti.ch/images/1000025307499.jpg,https://c.tutti.ch/images/1000025307497.jpg,https://c.tutti.ch/images/1000025307495.jpg,https://c.tutti.ch/images/1000025307496.jpg"
Allmendstrasse ,"Description ""Bright apartment in the heart of the cult quarters"" Breitsch """" This beautiful 2-room apartment, which was renovated in 2021, is located in the popular Breitenrainquartier.In the immediate vicinity of the ""Breitenrain"" tram station with various shops (Migros, Coop, pharmacy etc.) can be reached in a few minutes.The entire apartment was renewed in 2021.Kitchen and bathroom are as good as new.Four washing towers are available.There is a built -in cabinet in the entrance area.You can enjoy evening sun on the balcony.The window front offers a lot of light.Highlights: - central - as good as new - bright apartment - new racing",10004449719,2.5,1590.0,3011.0,22.07.2022,51.0,"Rent in the heart of ""Breitsch"" living in Bern - Roman Schär - Tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/im-herzen-vom-breitsch-wohnen/10004449719,"https://c.tutti.ch/images/1000025224884.jpg,https://c.tutti.ch/images/1000025224888.jpg,https://c.tutti.ch/images/1000025224887.jpg,https://c.tutti.ch/images/1000025224886.jpg,https://c.tutti.ch/images/1000025224885.jpg,https://c.tutti.ch/images/1000025224884.jpg"
Engehalde ,"Temporarily a bright 2-room apartment on the 2nd floor, in an old building, near the Aare and the train station from Bern for rent, from August 25, 2002, for min. 2 months and max. 6 months, by appointment.Ideal for 1 - 2 people completely furnished with the most necessary.Living room with sofa, bedroom with double bed, kitchen with a small table for 2 people.Shower with window, small storage room.Washing machine usable in the laundry room.Pets and smoking in the apartment are not allowed.Additional remark for rent: incl. Heating, electricity, water furniture: cozy, simply kitchen: dishwasher, coffee machine balcony / terrace / garden 1 balcony garden (for use) environment: near the Aare, on foot in 15 minutes at the main station in Bern, 5Minutes by bike",53608751,2,1290.0,3012.0,21.07.2022,50.0,"2 room apartment in Bern, furnished, temporarily rent in Bern - tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/2-zi-wohnung-in-bern-moebiliert-temporaer/53608751,"https://c.tutti.ch/images/9443680217.jpg,https://c.tutti.ch/images/9475001816.jpg,https://c.tutti.ch/images/9476089658.jpg,https://c.tutti.ch/images/9444276210.jpg,https://c.tutti.ch/images/9453499666.jpg"
Viktoriastrasse ,"Temporary rental of a 3.5 room apartment in the period 12.12.2022-28.02.2023.The apartment is very bright, fully furnished, with the Internet, 3 rooms (2 bedrooms with a total of 5 sleeping facilities, living room with dining area), 2 bathrooms and 2 balconies.It is close to the city, near Rosengarten.Very good public transport connection.Shops directly around the corner.",53608883,3.5,2000.0,3013.0,21.07.2022,0.0,Temporary living close to the city in Bern - A.Meissner - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/temporaer-stadtnah-wohnen/53608883,"https://c.tutti.ch/images/9479543941.jpg,https://c.tutti.ch/images/9462497303.jpg,https://c.tutti.ch/images/9453377991.jpg,https://c.tutti.ch/images/9495994586.jpg,https://c.tutti.ch/images/9487471267.jpg"
Thunstrasse ,"(Cover picture only a sample picture, does not belong to the apartment) Since we have found an apartment earlier, we are now looking for a subsequent tenant for our beautiful 3.5 new room apartment or for the replacement of the contract as of December 1, 2022 in the burger destinationFor the first cover.Impressions of the new construction project: CHF 2620.- 3rd floor (top floor) Thunstrasse 106, 3006 Bern living space 96 m² outside area 9m² apartment number 106 - G3 - 03 For more information and visit to the sample apartment (August 13 or 20) Please contact us directly, then we coordinate directly with the administration.",10004450880,3.5,2620.0,3006.0,22.07.2022,96.0,Rent the tenant for 3.5 room apartment in a new building project in Bern - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/nachmieter-in-fuer-3-5-zimmerwohnung-in-neubauprojekt/10004450880,https://c.tutti.ch/images/1000025231248.jpg
Untermattweg ,"4.5-room apartment on the 2nd floor We rent out on December 1, 2022 at Untermattweg 32c in 3027 Bern A 4 1/2 room apartment on the 2nd floor on the left The apartment offers the following: · The whole apartment will be recovered · All rooms willA new floor covering · Living room and corridor with parquet flooring · Practical kitchen with glass ceramic stove · Bathroom with bathtub · Sep. WC · Cloakroom in the entrance area · built -in cabinets in the corridor · Balcony · Without lift A parking hall space or a garage can be at CHF 100.00 /month.resp.CHF 120.00/monthlyto be rented.The photos correspond to the standard and do not show exactly the available apartment.Have we piqued your interest?Then we look forward to your contact.",10004450248,4.5,1800.0,3027.0,22.07.2022,0.0,Looking for a family apartment in the Stöckackerquartier?Rent in Bern - Isabelle Bruderer - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/familienwohnung-im-stoeckackerquartier-gesucht/10004450248,"https://c.tutti.ch/images/1000025227784.jpg,https://c.tutti.ch/images/1000025227783.jpg,https://c.tutti.ch/images/1000025227781.jpg,https://c.tutti.ch/images/1000025227780.jpg,https://c.tutti.ch/images/1000025227782.jpg,https://c.tutti.ch/images/1000025227784.jpg"
Lorrainestrasse ,"The property is located in the popular Lorraine district.The ""Lorraine"" station of bus lines 20/21 is right nearby.Various restaurants, bars and shops offer a versatile everyday life.Kindergarten and crib also has it in the neighborhood.The city center can be reached on foot in 15 minutes.The property has a passenger elevator.· The pictures belong to a mirror-changing apartment · New building from 2017 · Maisonette apartment (EG + 1st floor No. 3) · Living room and bedroom with parquet floor · Modern, open kitchen · Bathroom with bathtub · Separate toilet · Own washing towerIn the apartment · With a garden seat on the ground floor · With balcony on the upper floor · With basement compartment · Whole apartment with floor heating via the contact request function, you will receive information about the sightseeing options.",10004450321,4.5,3340.0,3013.0,22.07.2022,112.0,Fantastic apartment in the heart of Lorraine in Bern - Flavia Bernhard - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/traumhafte-wohnung-im-herzen-der-lorraine/10004450321,"https://c.tutti.ch/images/1000025228171.jpg,https://c.tutti.ch/images/1000025228170.jpg,https://c.tutti.ch/images/1000025228169.jpg,https://c.tutti.ch/images/1000025228167.jpg,https://c.tutti.ch/images/1000025228168.jpg,https://c.tutti.ch/images/1000025228171.jpg"
Viktoriastrasse ,"For rent at Viktoriastrasse 61 in Bern on a sunny, central, yet quiet residential area A 3 -room apartment on the 4th floor: - Rooms: parquet floors - kitchen and baths: stone floors - bright kitchen with new refrigerator and freezer - beautiful balcony - bathroomWith shower and laundry tower - Sep. toilet - basement compartment entire apartment re -painted and the parquet floors were sanded down and newly sealed.",10004450526,3,2000.0,3013.0,22.07.2022,0.0,BREITENRAIN: Nach tenant: Rent for 3 -room apartment in Bern - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/breitenrain-nachmieter-in-gesucht-fuer-3-zimmerwohnung/10004450526,"https://c.tutti.ch/images/1000025229554.jpg,https://c.tutti.ch/images/1000025229558.jpg,https://c.tutti.ch/images/1000025229555.jpg,https://c.tutti.ch/images/1000025229557.jpg,https://c.tutti.ch/images/1000025229556.jpg,https://c.tutti.ch/images/1000025229554.jpg"
,"Rental period from October 1, 2022 to March 31, 2023 (at least 6 months) Helle, comfortably furnished apartment with terrace and garden. Large living room, bedroom, office and reduit. Centrally located, directly near Rosengarten, Coop and bus stop. 5 minutes to the city center. In the ground floor with a lift, 1 bedroom, 1 office (can be used as a bedroom), in old building, in good condition. A maximum of 3 people, families with children welcome, smoking in the apartment are not allowed. Direct link: Offer detail/57603/3-room apartment-Bern-Spitalacker/All Bern: Moeblated apartments/Bern/Additional comments on rent: incl. Heating, electricity, water, internet, TV (including connection and subscription) Furniture: balcony: sofa and gas grill Reduit: freezer. Functional, stylish, cozy. 1 double bed, 2 sofa beds. Equipment: TV (including connection and subscription), internet, integrating cabinets. Washing machine & tumble dryer / tumbler (for use) balcony / terrace / garden: 1 terrace. Garden. Gartensitzplatz. Kitchen: kitchen furnishings for 6 people. Separate kitchen, dishwasher, microwave, coffee machine. Bathroom / shower / toilet: 1 shower in bathtub & toilet. Quotation picture: central, northern Bernese quarters, east of the Aare. Popular residential area: Renovated old-fashioned apartment buildings with gardens, reibled multi-family houses and high-rise buildings (Wankdorf) / trade fair and sports facilities (Stade de Suisse) in the eastern part. Public traffic: 1-minute walk to the public transport station Bern, Schönburg. 6 minutes to drive until HBF Bern. Car: public parking. Automen entrance nearby. Keywords: Temporarily temporarily temporary living exposure WAZ short -term rent short -term rent short -term rent short -term rental transition apartment privately sublet. *************************************** Bern - Spitalacker, Furnished, Temporary. Rental Period from October 1, 2022 to March 31, 2023 (min. 6 Months) Bright, Cozy Furnesthed Apartment with Terrace and Garden. Large Living Room, Bedroom, Office and Reduit. Centrally Located, Close to Rosengarten, Coop and Bus Stop. 5min to the City Center. Ground Floor With Elevator, 1 Detmer, 1 Home Office (Can Be Used AS Bedroom), in Older Building, in Good Condition. 3 person max., Families with Children Welcome, Smoking in apartment not allowed. Direct Link: Offer-detail/57603/3-room apartment-Bern-Spitalacker/All Berne: Furnesthed Apartments/Berne/Complementary Remarks on the Rent: Heating, Electricity, Water, Internet, TV (including Connection and Subscription) Incl. Furnique: Functional, Stylish, Cosy. 1 double bed, 2 sofa beds. Equipment: TV (incl. Connection and subscription), Internet, Built-in Closets. Washing Machine & Tumbler (to be shared) Balcony / Terrace / Garden: 1 Terrace. Garden. patio. Kitchen: Kitchen Equiped for 6 Person. Separate Kitchen, Dishwasher, Microwave, Coffee Maker. Bath / Shower / Toilet: 1 Shower in Tub & Toilet. Public Transport: 1 min. To Walk to Public Transport Station Bern, Schönburg. 6 minutes to ride to train station Hbf Bern. Car: Public Parking Nearby. Access to Motorway. Keywords: Shortterm Medium Expat Relocation Business HR Sabbatical Working Digitalnomad Private Sublet Sublease.",10004452893,3,2475.0,3013.0,23.07.2022,0.0,"3 room apartment in Bern - Spitalacker, furnished, temporarily in Bern - Ums AG - UntermietService - Temporary Housing - Tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/3-zi-wohnung-in-bern-spitalacker-moebliert-temporaer/10004452893,"https://c.tutti.ch/images/1000025242326.jpg,https://c.tutti.ch/images/1000025242328.jpg,https://c.tutti.ch/images/1000025242325.jpg,https://c.tutti.ch/images/1000025242327.jpg,https://c.tutti.ch/images/1000025242329.jpg,https://c.tutti.ch/images/1000025242326.jpg"
